GEOID20,C_TOT15,C_NHS15,C_AIA15,C_ASN15,C_BLK15,C_NHP15,C_WHT15,C_AIW15,C_ASW15,C_BLW15,C_AIB15,C_2OM15,C_HSP15,CVAP_TOT15,CVAP_NHS15,CVAP_AIA15,CVAP_ASN15,CVAP_BLK15,CVAP_NHP15,CVAP_WHT15,CVAP_AIW15,CVAP_ASW15,CVAP_BLW15,CVAP_AIB15,CVAP_2OM15,CVAP_HSP15
150010201003023,16,13,0,1,0,0,8,0,1,0,0,5,3,13,11,0,1,0,0,8,0,0,0,0,3,3
150010201003024,18,17,0,3,0,2,6,0,1,0,0,6,0,15,14,0,3,0,2,6,0,2,0,0,4,0
150010201003025,6,6,0,1,0,0,7,0,2,0,0,1,0,5,5,0,1,0,0,6,0,0,0,0,0,0
150010201003026,7,7,0,0,0,0,14,0,0,0,0,0,0,6,6,0,0,0,0,10,0,0,0,0,0,0
150010201003027,14,15,1,1,0,0,23,1,0,0,0,0,0,13,14,1,1,0,0,17,1,0,0,0,0,0
150010201003028,7,7,0,2,0,0,9,0,0,0,0,0,0,7,7,0,2,0,0,7,0,0,0,0,0,0
150010201003029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003030,2,3,0,1,0,0,3,0,0,0,0,0,0,3,3,0,1,0,0,2,0,0,0,0,0,0
150010201003031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003032,6,6,0,1,0,0,5,0,3,0,0,2,0,3,4,0,1,0,0,4,0,0,0,0,0,0
150010201003033,2,2,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0
150010201003034,2,2,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0
150010201003035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003037,11,11,0,1,0,1,3,0,3,0,0,5,0,6,6,0,1,0,1,3,0,0,0,0,1,0
150010201003038,12,12,0,1,0,0,13,0,0,0,0,0,0,7,7,0,1,0,0,7,0,0,0,0,0,0
150010201003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003040,16,14,0,0,0,0,10,1,1,0,0,5,2,11,11,0,0,0,0,10,0,1,0,0,2,0
150010201003041,9,10,0,0,0,0,12,0,2,0,0,2,0,9,10,0,0,0,0,9,0,2,0,0,3,0
150010201003042,42,44,1,13,0,0,19,1,3,0,0,11,0,36,37,1,13,0,0,11,1,4,0,0,12,0
150010201003043,15,13,0,3,0,0,10,0,0,0,0,1,2,15,12,0,3,0,0,10,0,0,0,0,1,2
150010201003044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003045,62,55,0,13,0,0,29,0,2,0,0,14,7,54,48,0,14,0,0,25,0,2,0,0,10,6
150010201003046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003047,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
150010201003048,24,23,0,9,0,1,1,0,0,0,0,8,1,18,16,0,8,0,1,1,0,0,0,0,4,1
150010201003049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003052,23,20,0,1,0,0,15,0,2,0,0,4,3,22,19,0,1,0,0,15,0,2,0,0,3,4
150010201003053,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
150010201003054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003055,8,8,0,2,0,1,4,0,0,0,0,1,1,7,7,0,2,0,0,4,0,0,0,0,1,1
150010201003056,62,57,1,15,0,5,30,0,1,0,0,7,5,54,50,1,16,0,4,27,0,0,0,0,4,4
150010201003057,63,60,0,19,0,7,23,0,0,0,0,10,2,52,49,0,19,0,4,23,1,0,0,0,4,2
150010201003058,93,85,1,23,0,8,45,0,1,0,0,11,7,80,74,1,24,0,6,40,1,1,0,0,6,6
150010201003059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003060,2,2,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0
150010201003061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003062,140,126,0,22,0,7,84,0,2,0,0,22,13,119,107,0,23,0,6,80,0,1,0,0,10,11
150010201003063,28,25,0,15,0,0,7,0,0,0,0,1,2,25,23,0,14,0,0,7,0,0,0,0,1,1
150010201003064,6,7,0,0,0,0,4,0,0,0,0,2,0,4,4,0,0,0,0,3,0,0,0,0,1,0
150010201003065,2,2,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,0
150010201003066,4,4,0,1,0,0,1,0,1,0,0,2,0,4,4,0,1,0,0,1,0,1,0,0,1,0
150010201003067,5,5,0,2,0,0,2,0,0,0,0,0,0,5,4,0,2,0,0,2,0,0,0,0,0,0
150010201003068,7,6,0,0,0,0,12,0,0,0,0,0,0,7,6,0,0,0,0,9,0,0,0,0,0,0
150010201003069,6,6,0,3,0,0,5,0,0,0,0,0,0,6,6,0,3,0,0,4,0,0,0,0,0,0
150010201003070,9,10,0,6,0,0,0,0,0,0,0,2,0,7,7,0,6,0,0,0,0,0,0,0,0,0
150010201003071,10,11,0,0,0,0,21,0,0,0,0,0,0,7,7,0,0,0,0,11,0,0,0,0,0,0
150010201003072,16,17,1,3,0,0,23,1,0,0,0,0,0,14,15,1,1,0,0,19,1,0,0,0,0,0
150010201003073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003075,6,5,0,1,0,0,2,0,0,0,0,2,0,6,5,0,1,0,0,2,0,0,0,0,1,0
150010201003076,6,5,0,1,0,0,3,0,0,0,0,1,0,5,5,0,1,0,0,3,0,0,0,0,1,0
150010201003077,8,9,0,2,0,0,12,0,0,0,0,0,0,8,9,0,2,0,0,9,0,0,0,0,0,0
150010201003078,15,16,1,6,0,0,2,1,8,0,0,5,0,12,12,1,6,0,0,2,1,4,0,0,3,0
150010201003079,9,10,0,0,0,0,19,0,0,0,0,0,0,9,10,0,0,0,0,15,0,0,0,0,0,0
150010201003080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003085,8,8,0,3,3,0,3,0,0,0,0,1,0,7,7,0,3,3,0,3,0,0,0,0,0,0
150010201003086,4,4,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0
150010201003087,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
150010201003088,7,7,0,0,0,0,5,0,0,0,0,3,0,7,7,0,0,0,0,5,0,0,0,0,3,0
150010201003089,18,15,0,6,0,2,2,0,0,0,0,3,3,13,11,0,6,0,2,2,0,0,0,0,1,1
150010201004000,12,11,0,11,0,0,0,0,0,0,0,0,0,12,12,0,10,0,0,0,0,0,0,0,0,0
150010201004001,22,20,0,7,0,0,5,0,0,0,0,7,2,20,17,0,6,0,0,5,0,0,0,0,5,2
150010201004002,49,46,0,3,0,2,11,0,3,0,0,17,1,40,39,0,3,0,2,10,0,2,0,0,19,0
150010201004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004007,43,36,0,6,0,0,12,0,2,0,0,25,8,29,25,0,3,0,0,12,0,1,0,0,16,3
150010201004008,13,12,0,6,0,0,3,0,0,0,0,3,0,13,12,0,6,0,0,3,0,0,0,0,3,0
150010201004009,27,25,0,4,0,1,4,0,8,0,0,17,1,20,18,0,3,0,1,4,0,4,0,0,13,1
150010201004010,16,15,0,5,0,1,1,0,0,0,0,0,0,14,13,0,4,0,1,1,0,0,0,0,0,0
